Страна,Столица,Картинка,Флаг
Шри-Ланка,Шри-Джаяварденепура-Котте,shri-kotte.jpg,https://flagcdn.com/w320/lk.png
Эквадор,Кито,quito.jpg,https://flagcdn.com/w320/ec.png
Экваториальная Гвинея,Малабо,malabo.jpg,https://flagcdn.com/w320/gq.png
Эритрея,Aсмэра,asmara.jpg,https://flagcdn.com/w320/er.png
Эстония,Tаллин,tallinn.jpg,https://flagcdn.com/w320/ee.png
Эфиопия,Aддис-Aбеба,addis-ababa.jpg,https://flagcdn.com/w320/et.png
ЮАР,Претория,pretoria.jpg,https://flagcdn.com/w320/za.png
Южная Корея,Сеул,seoul.jpg,https://flagcdn.com/w320/kr.png
Южная Осетия,Цхинвал,tsinkhval.jpg,
Ямайка,Kингстон,kingston.jpg,https://flagcdn.com/w320/jm.png
Япония,Tокио,tokyo.jpg,https://flagcdn.com/w320/jp.png
